id,id_short,display_name,works_api_url,h_index,works_count,country_code
https://openalex.org/A5026215303,A5026215303,Aziz Sheikh,https://api.openalex.org/works?filter=author.id:A5026215303,177,2035,IN
https://openalex.org/A5090925242,A5090925242,Tao Zhou,https://api.openalex.org/works?filter=author.id:A5090925242,79,1302,CN
https://openalex.org/A5048237545,A5048237545,Enhong Chen,https://api.openalex.org/works?filter=author.id:A5048237545,80,1169,CN
https://openalex.org/A5027571680,A5027571680,Harold Snieder,https://api.openalex.org/works?filter=author.id:A5027571680,126,893,NL
https://openalex.org/A5087025582,A5087025582,Joseph Y. Halpern,https://api.openalex.org/works?filter=author.id:A5087025582,78,669,US
https://openalex.org/A5077659457,A5077659457,Matthias Kliegel,https://api.openalex.org/works?filter=author.id:A5077659457,70,560,CH
https://openalex.org/A5058425659,A5058425659,Taha B. M. J. Ouarda,https://api.openalex.org/works?filter=author.id:A5058425659,71,527,CA
https://openalex.org/A5012676548,A5012676548,Johann‐Mattis List,https://api.openalex.org/works?filter=author.id:A5012676548,35,440,DE
https://openalex.org/A5066501666,A5066501666,P. Melchior,https://api.openalex.org/works?filter=author.id:A5066501666,73,370,US
https://openalex.org/A5005554337,A5005554337,Matei Zaharia,https://api.openalex.org/works?filter=author.id:A5005554337,65,328,US
https://openalex.org/A5042631896,A5042631896,Eran Halperin,https://api.openalex.org/works?filter=author.id:A5042631896,53,322,IL
https://openalex.org/A5100333265,A5100333265,Xiaofeng Wang,https://api.openalex.org/works?filter=author.id:A5100333265,42,284,CN
https://openalex.org/A5030727798,A5030727798,Ghim Wei Ho,https://api.openalex.org/works?filter=author.id:A5030727798,78,253,SG
https://openalex.org/A5080795738,A5080795738,Kristine M. Gebbie,https://api.openalex.org/works?filter=author.id:A5080795738,33,251,AU
https://openalex.org/A5091686932,A5091686932,Jon Green,https://api.openalex.org/works?filter=author.id:A5091686932,25,249,US
https://openalex.org/A5035909713,A5035909713,Moniek Buijzen,https://api.openalex.org/works?filter=author.id:A5035909713,47,218,NL
https://openalex.org/A5067301270,A5067301270,Constantinos Patsakis,https://api.openalex.org/works?filter=author.id:A5067301270,32,214,GR
https://openalex.org/A5001205723,A5001205723,Jiahui Yu,https://api.openalex.org/works?filter=author.id:A5001205723,38,204,MO
https://openalex.org/A5031886656,A5031886656,Bruce Western,https://api.openalex.org/works?filter=author.id:A5031886656,57,189,US
https://openalex.org/A5101835756,A5101835756,Yapeng Tian,https://api.openalex.org/works?filter=author.id:A5101835756,28,153,US
https://openalex.org/A5101627056,A5101627056,Albert Park,https://api.openalex.org/works?filter=author.id:A5101627056,28,121,US
https://openalex.org/A5046414549,A5046414549,Yashvardhan Sharma,https://api.openalex.org/works?filter=author.id:A5046414549,14,107,IN
https://openalex.org/A5047788775,A5047788775,Alessandro Canossa,https://api.openalex.org/works?filter=author.id:A5047788775,23,106,DK
https://openalex.org/A5111385261,A5111385261,Glorianna Davenport,https://api.openalex.org/works?filter=author.id:A5111385261,24,106,US
https://openalex.org/A5091587552,A5091587552,Huanbo Luan,https://api.openalex.org/works?filter=author.id:A5091587552,31,105,
https://openalex.org/A5002809454,A5002809454,Daniel A. McFarland,https://api.openalex.org/works?filter=author.id:A5002809454,41,104,US
https://openalex.org/A5043173932,A5043173932,Jon Salsberg,https://api.openalex.org/works?filter=author.id:A5043173932,22,100,IE
https://openalex.org/A5102730269,A5102730269,Michael Backes,https://api.openalex.org/works?filter=author.id:A5102730269,24,98,DE
https://openalex.org/A5100382950,A5100382950,Xinyi Wang,https://api.openalex.org/works?filter=author.id:A5100382950,24,91,CN
https://openalex.org/A5051846732,A5051846732,Emily A. Harris,https://api.openalex.org/works?filter=author.id:A5051846732,16,54,AU
https://openalex.org/A5001013036,A5001013036,Leonid Tiokhin,https://api.openalex.org/works?filter=author.id:A5001013036,18,49,NL
https://openalex.org/A5047999634,A5047999634,Wenqi Duan,https://api.openalex.org/works?filter=author.id:A5047999634,16,48,CN
https://openalex.org/A5065143196,A5065143196,Hilary B. Bergsieker,https://api.openalex.org/works?filter=author.id:A5065143196,16,48,CA
https://openalex.org/A5003605642,A5003605642,Zibo Niu,https://api.openalex.org/works?filter=author.id:A5003605642,17,45,CN
https://openalex.org/A5002047466,A5002047466,Ankur Mani,https://api.openalex.org/works?filter=author.id:A5002047466,7,40,US
https://openalex.org/A5024390954,A5024390954,Kedar Dhamdhere,https://api.openalex.org/works?filter=author.id:A5024390954,15,36,US
https://openalex.org/A5004265472,A5004265472,Ignacio Serna,https://api.openalex.org/works?filter=author.id:A5004265472,10,35,US
https://openalex.org/A5009952799,A5009952799,David M. Hureau,https://api.openalex.org/works?filter=author.id:A5009952799,19,35,US
https://openalex.org/A5060019444,A5060019444,Devin Gaffney,https://api.openalex.org/works?filter=author.id:A5060019444,10,17,GB
https://openalex.org/A5043723934,A5043723934,Yaxue Ma,https://api.openalex.org/works?filter=author.id:A5043723934,8,15,CN
